Data;AnoMes;Ano;Mes;Nome_Mes;Base_dias_uteis
01/10/2020;202010;2020;10;October;21
01/11/2020;202011;2020;11;November;21
01/12/2020;202012;2020;12;December;21
01/01/2021;202101;2021;1;January;21
01/02/2021;202102;2021;2;February;21
01/03/2021;202103;2021;3;March;21
01/04/2021;202104;2021;4;April;21
01/05/2021;202105;2021;5;May;21
01/06/2021;202106;2021;6;June;21
01/07/2021;202107;2021;7;July;21
01/08/2021;202108;2021;8;August;21
01/09/2021;202109;2021;9;September;21
01/10/2021;202110;2021;10;October;21
01/11/2021;202111;2021;11;November;21
01/12/2021;202112;2021;12;December;21
01/01/2022;202201;2022;1;January;21
01/02/2022;202202;2022;2;February;21
01/03/2022;202203;2022;3;March;21
01/04/2022;202204;2022;4;April;21
01/05/2022;202205;2022;5;May;21
01/06/2022;202206;2022;6;June;21
01/07/2022;202207;2022;7;July;21
01/08/2022;202208;2022;8;August;21
01/09/2022;202209;2022;9;September;21
01/10/2022;202210;2022;10;October;21
01/11/2022;202211;2022;11;November;21
01/12/2022;202212;2022;12;December;21
01/01/2023;202301;2023;1;January;21
01/02/2023;202302;2023;2;February;21
01/03/2023;202303;2023;3;March;21
01/04/2023;202304;2023;4;April;21
01/05/2023;202305;2023;5;May;21
01/06/2023;202306;2023;6;June;21
01/07/2023;202307;2023;7;July;21
01/08/2023;202308;2023;8;August;21
01/09/2023;202309;2023;9;September;21
01/10/2023;202310;2023;10;October;21
01/11/2023;202311;2023;11;November;21
01/12/2023;202312;2023;12;December;21
01/01/2024;202401;2024;1;January;21
01/02/2024;202402;2024;2;February;21
01/03/2024;202403;2024;3;March;21
01/04/2024;202404;2024;4;April;21
01/05/2024;202405;2024;5;May;21
01/06/2024;202406;2024;6;June;21
01/07/2024;202407;2024;7;July;21
01/08/2024;202408;2024;8;August;21
01/09/2024;202409;2024;9;September;21
01/10/2024;202410;2024;10;October;21
01/11/2024;202411;2024;11;November;21
01/12/2024;202412;2024;12;December;21
01/01/2025;202501;2025;1;January;21
01/02/2025;202502;2025;2;February;21
01/03/2025;202503;2025;3;March;21
01/04/2025;202504;2025;4;April;21
01/05/2025;202505;2025;5;May;21
01/06/2025;202506;2025;6;June;21
01/07/2025;202507;2025;7;July;21
01/08/2025;202508;2025;8;August;21
01/09/2025;202509;2025;9;September;21
01/10/2025;202510;2025;10;October;21
01/11/2025;202511;2025;11;November;21
01/12/2025;202512;2025;12;December;21
01/01/2026;202601;2026;1;January;21
01/02/2026;202602;2026;2;February;21
01/03/2026;202603;2026;3;March;21
01/04/2026;202604;2026;4;April;21
01/05/2026;202605;2026;5;May;21
01/06/2026;202606;2026;6;June;21
01/07/2026;202607;2026;7;July;21
01/08/2026;202608;2026;8;August;21
01/09/2026;202609;2026;9;September;21
01/10/2026;202610;2026;10;October;21
01/11/2026;202611;2026;11;November;21
01/12/2026;202612;2026;12;December;21
01/01/2027;202701;2027;1;January;21
01/02/2027;202702;2027;2;February;21
01/03/2027;202703;2027;3;March;21
01/04/2027;202704;2027;4;April;21
01/05/2027;202705;2027;5;May;21
01/06/2027;202706;2027;6;June;21
01/07/2027;202707;2027;7;July;21
01/08/2027;202708;2027;8;August;21
01/09/2027;202709;2027;9;September;21
01/10/2027;202710;2027;10;October;21
01/11/2027;202711;2027;11;November;21
01/12/2027;202712;2027;12;December;21
01/01/2028;202801;2028;1;January;21
01/02/2028;202802;2028;2;February;21
01/03/2028;202803;2028;3;March;21
01/04/2028;202804;2028;4;April;21
01/05/2028;202805;2028;5;May;21
01/06/2028;202806;2028;6;June;21
01/07/2028;202807;2028;7;July;21
01/08/2028;202808;2028;8;August;21
01/09/2028;202809;2028;9;September;21
01/10/2028;202810;2028;10;October;21
01/11/2028;202811;2028;11;November;21
01/12/2028;202812;2028;12;December;21
01/01/2029;202901;2029;1;January;21
01/02/2029;202902;2029;2;February;21
01/03/2029;202903;2029;3;March;21
01/04/2029;202904;2029;4;April;21
01/05/2029;202905;2029;5;May;21
01/06/2029;202906;2029;6;June;21
01/07/2029;202907;2029;7;July;21
01/08/2029;202908;2029;8;August;21
01/09/2029;202909;2029;9;September;21
01/10/2029;202910;2029;10;October;21
01/11/2029;202911;2029;11;November;21
01/12/2029;202912;2029;12;December;21
01/01/2030;203001;2030;1;January;21
01/02/2030;203002;2030;2;February;21
01/03/2030;203003;2030;3;March;21
01/04/2030;203004;2030;4;April;21
01/05/2030;203005;2030;5;May;21
01/06/2030;203006;2030;6;June;21
01/07/2030;203007;2030;7;July;21
01/08/2030;203008;2030;8;August;21
01/09/2030;203009;2030;9;September;21
01/10/2030;203010;2030;10;October;21
01/11/2030;203011;2030;11;November;21
01/12/2030;203012;2030;12;December;21
