Data;AnoMes;Ano;Mes;Nome_Mes;Base_dias_uteis
01/02/1972;197202;1972;2;February;21
01/03/1972;197203;1972;3;March;21
01/04/1972;197204;1972;4;April;21
01/05/1972;197205;1972;5;May;21
01/06/1972;197206;1972;6;June;21
01/07/1972;197207;1972;7;July;21
01/08/1972;197208;1972;8;August;21
01/09/1972;197209;1972;9;September;21
01/10/1972;197210;1972;10;October;21
01/11/1972;197211;1972;11;November;21
01/12/1972;197212;1972;12;December;21
01/01/1973;197301;1973;1;January;21
01/02/1973;197302;1973;2;February;21
01/03/1973;197303;1973;3;March;21
01/04/1973;197304;1973;4;April;21
01/05/1973;197305;1973;5;May;21
01/06/1973;197306;1973;6;June;21
01/07/1973;197307;1973;7;July;21
01/08/1973;197308;1973;8;August;21
01/09/1973;197309;1973;9;September;21
01/10/1973;197310;1973;10;October;21
01/11/1973;197311;1973;11;November;21
01/12/1973;197312;1973;12;December;21
01/01/1974;197401;1974;1;January;21
01/02/1974;197402;1974;2;February;21
01/03/1974;197403;1974;3;March;21
01/04/1974;197404;1974;4;April;21
01/05/1974;197405;1974;5;May;21
01/06/1974;197406;1974;6;June;21
01/07/1974;197407;1974;7;July;21
01/08/1974;197408;1974;8;August;21
01/09/1974;197409;1974;9;September;21
01/10/1974;197410;1974;10;October;21
01/11/1974;197411;1974;11;November;21
01/12/1974;197412;1974;12;December;21
01/01/1975;197501;1975;1;January;21
01/02/1975;197502;1975;2;February;21
01/03/1975;197503;1975;3;March;21
01/04/1975;197504;1975;4;April;21
01/05/1975;197505;1975;5;May;21
01/06/1975;197506;1975;6;June;21
01/07/1975;197507;1975;7;July;21
01/08/1975;197508;1975;8;August;21
01/09/1975;197509;1975;9;September;21
01/10/1975;197510;1975;10;October;21
01/11/1975;197511;1975;11;November;21
01/12/1975;197512;1975;12;December;21
01/01/1976;197601;1976;1;January;21
01/02/1976;197602;1976;2;February;21
01/03/1976;197603;1976;3;March;21
01/04/1976;197604;1976;4;April;21
01/05/1976;197605;1976;5;May;21
01/06/1976;197606;1976;6;June;21
01/07/1976;197607;1976;7;July;21
01/08/1976;197608;1976;8;August;21
01/09/1976;197609;1976;9;September;21
01/10/1976;197610;1976;10;October;21
01/11/1976;197611;1976;11;November;21
01/12/1976;197612;1976;12;December;21
01/01/1977;197701;1977;1;January;21
01/02/1977;197702;1977;2;February;21
01/03/1977;197703;1977;3;March;21
01/04/1977;197704;1977;4;April;21
01/05/1977;197705;1977;5;May;21
01/06/1977;197706;1977;6;June;21
01/07/1977;197707;1977;7;July;21
01/08/1977;197708;1977;8;August;21
01/09/1977;197709;1977;9;September;21
01/10/1977;197710;1977;10;October;21
01/11/1977;197711;1977;11;November;21
01/12/1977;197712;1977;12;December;21
01/01/1978;197801;1978;1;January;21
01/02/1978;197802;1978;2;February;21
01/03/1978;197803;1978;3;March;21
01/04/1978;197804;1978;4;April;21
01/05/1978;197805;1978;5;May;21
01/06/1978;197806;1978;6;June;21
01/07/1978;197807;1978;7;July;21
01/08/1978;197808;1978;8;August;21
01/09/1978;197809;1978;9;September;21
01/10/1978;197810;1978;10;October;21
01/11/1978;197811;1978;11;November;21
01/12/1978;197812;1978;12;December;21
01/01/1979;197901;1979;1;January;21
01/02/1979;197902;1979;2;February;21
01/03/1979;197903;1979;3;March;21
01/04/1979;197904;1979;4;April;21
01/05/1979;197905;1979;5;May;21
01/06/1979;197906;1979;6;June;21
01/07/1979;197907;1979;7;July;21
01/08/1979;197908;1979;8;August;21
01/09/1979;197909;1979;9;September;21
01/10/1979;197910;1979;10;October;21
01/11/1979;197911;1979;11;November;21
01/12/1979;197912;1979;12;December;21
01/01/1980;198001;1980;1;January;21
01/02/1980;198002;1980;2;February;21
01/03/1980;198003;1980;3;March;21
01/04/1980;198004;1980;4;April;21
01/05/1980;198005;1980;5;May;21
01/06/1980;198006;1980;6;June;21
01/07/1980;198007;1980;7;July;21
01/08/1980;198008;1980;8;August;21
01/09/1980;198009;1980;9;September;21
01/10/1980;198010;1980;10;October;21
01/11/1980;198011;1980;11;November;21
01/12/1980;198012;1980;12;December;21
01/01/1981;198101;1981;1;January;21
01/02/1981;198102;1981;2;February;21
01/03/1981;198103;1981;3;March;21
01/04/1981;198104;1981;4;April;21
01/05/1981;198105;1981;5;May;21
01/06/1981;198106;1981;6;June;21
01/07/1981;198107;1981;7;July;21
01/08/1981;198108;1981;8;August;21
01/09/1981;198109;1981;9;September;21
01/10/1981;198110;1981;10;October;21
01/11/1981;198111;1981;11;November;21
01/12/1981;198112;1981;12;December;21
01/01/1982;198201;1982;1;January;21
01/02/1982;198202;1982;2;February;21
01/03/1982;198203;1982;3;March;21
01/04/1982;198204;1982;4;April;21
01/05/1982;198205;1982;5;May;21
01/06/1982;198206;1982;6;June;21
01/07/1982;198207;1982;7;July;21
01/08/1982;198208;1982;8;August;21
01/09/1982;198209;1982;9;September;21
01/10/1982;198210;1982;10;October;21
01/11/1982;198211;1982;11;November;21
01/12/1982;198212;1982;12;December;21
